file_name	object_location	file_size	md5_hash	public_url
GTEx_Analysis_2016-01-15_v7_STARv2.4.2a_junctions.gct.gz	gs://gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_STARv2.4.2a_junctions.gct.gz	2.15 GiB	4e0b1425336f205cc0d11c773e2a0fe1	https://storage.googleapis.com/gtex_analysis_v7/rna_seq_data/GTEx_Analysis_2016-01-15_v7_STARv2.4.2a_junctions.gct.gz
GTEx_Analysis_v7_eQTL.tar.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/GTEx_Analysis_v7_eQTL.tar.gz	915.29 MiB	b7736b229398342794da9f2173c56c6f	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/GTEx_Analysis_v7_eQTL.tar.gz
GTEx_Analysis_v7_eQTL_all_associations.tar.gz	gs://gtex_large_files/all_snp_gene_associations/GTEx_Analysis_v7_eQTL_all_associations.tar.gz	187.37 GiB	26a920162192032930f75bf074dea099	https://storage.cloud.google.com/gtex_large_files/all_snp_gene_associations/GTEx_Analysis_v7_eQTL_all_associations.tar.gz
GTEx_Analysis_v7_eQTL_covariates.tar.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/GTEx_Analysis_v7_eQTL_covariates.tar.gz	3.52 MiB	c7c89fe7366d50cd75448aa603c9de58	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/GTEx_Analysis_v7_eQTL_covariates.tar.gz
GTEx_Analysis_v7_eQTL_expression_matrices.tar.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/GTEx_Analysis_v7_eQTL_expression_matrices.tar.gz	655.76 MiB	9d6c4c5f80fa885ad950f7ce02e364ff	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/GTEx_Analysis_v7_eQTL_expression_matrices.tar.gz
Adipose_Subcutaneous.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Adipose_Subcutaneous.allpairs.txt.gz	4.3 GiB	a8a8f998a793778c3578e91aab10d3a8	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Adipose_Subcutaneous.allpairs.txt.gz
Adipose_Visceral_Omentum.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Adipose_Visceral_Omentum.allpairs.txt.gz	4.22 GiB	19d9eefd32f366f7fe9b3bd659818476	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Adipose_Visceral_Omentum.allpairs.txt.gz
Adrenal_Gland.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Adrenal_Gland.allpairs.txt.gz	3.76 GiB	24dd042d7ddb5fe4f15880daf395f042	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Adrenal_Gland.allpairs.txt.gz
Artery_Aorta.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Artery_Aorta.allpairs.txt.gz	3.93 GiB	780b663f70da5cc832ed17672ad53bd7	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Artery_Aorta.allpairs.txt.gz
Artery_Coronary.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Artery_Coronary.allpairs.txt.gz	3.79 GiB	bc59f1c620d3c794ef99ef16102303a0	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Artery_Coronary.allpairs.txt.gz
Artery_Tibial.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Artery_Tibial.allpairs.txt.gz	4.07 GiB	aad4bf8c59c28ebba4d2418da8e01b0c	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Artery_Tibial.allpairs.txt.gz
Brain_Amygdala.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Amygdala.allpairs.txt.gz	3.37 GiB	f49836800f17b3568a69f6f9e096c8b9	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Amygdala.allpairs.txt.gz
Brain_Anterior_cingulate_cortex_BA24.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Anterior_cingulate_cortex_BA24.allpairs.txt.gz	3.48 GiB	b2e3bcff3227092b5524ee75e4f162cf	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Anterior_cingulate_cortex_BA24.allpairs.txt.gz
Brain_Caudate_basal_ganglia.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Caudate_basal_ganglia.allpairs.txt.gz	3.77 GiB	8d90dd3613973ce29afe6f59262effb8	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Caudate_basal_ganglia.allpairs.txt.gz
Brain_Cerebellar_Hemisphere.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Cerebellar_Hemisphere.allpairs.txt.gz	3.62 GiB	e20a3c5b980a13ad79e64cd1985bf91a	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Cerebellar_Hemisphere.allpairs.txt.gz
Brain_Cerebellum.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Cerebellum.allpairs.txt.gz	3.89 GiB	bbacf8da5ea3103a36b397d94aa6d4cb	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Cerebellum.allpairs.txt.gz
Brain_Cortex.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Cortex.allpairs.txt.gz	3.75 GiB	b18a0247ff8d00167e5c15e9c994295e	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Cortex.allpairs.txt.gz
Brain_Frontal_Cortex_BA9.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Frontal_Cortex_BA9.allpairs.txt.gz	3.66 GiB	de50e3be5cd4fa0f06b68f1a42180026	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Frontal_Cortex_BA9.allpairs.txt.gz
Brain_Hippocampus.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Hippocampus.allpairs.txt.gz	3.56 GiB	2d87f8b5a74386e88ac81e48c9f433a6	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Hippocampus.allpairs.txt.gz
Brain_Hypothalamus.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Hypothalamus.allpairs.txt.gz	3.64 GiB	8128984d38567d77a8c8318b3abf989b	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Hypothalamus.allpairs.txt.gz
Brain_Nucleus_accumbens_basal_ganglia.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Nucleus_accumbens_basal_ganglia.allpairs.txt.gz	3.76 GiB	e2a45085701c5308dd034aa1515e188f	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Nucleus_accumbens_basal_ganglia.allpairs.txt.gz
Brain_Putamen_basal_ganglia.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Putamen_basal_ganglia.allpairs.txt.gz	3.5 GiB	066ba866897b47d94f333f40b1c2bdcf	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Putamen_basal_ganglia.allpairs.txt.gz
Brain_Spinal_cord_cervical_c-1.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Spinal_cord_cervical_c-1.allpairs.txt.gz	3.41 GiB	e13faccf0c27f19f88e0c7abba24d4bb	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Spinal_cord_cervical_c-1.allpairs.txt.gz
Brain_Substantia_nigra.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Substantia_nigra.allpairs.txt.gz	3.36 GiB	f6ca65b63f1ef7432367911fbe325a10	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Brain_Substantia_nigra.allpairs.txt.gz
Breast_Mammary_Tissue.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Breast_Mammary_Tissue.allpairs.txt.gz	4.28 GiB	199966f5907f7dfb42207114e70adee5	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Breast_Mammary_Tissue.allpairs.txt.gz
Cells_EBV-transformed_lymphocytes.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Cells_EBV-transformed_lymphocytes.allpairs.txt.gz	3.43 GiB	505676f9a80a4e80ba2fe3aaac21e995	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Cells_EBV-transformed_lymphocytes.allpairs.txt.gz
Cells_Transformed_fibroblasts.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Cells_Transformed_fibroblasts.allpairs.txt.gz	3.72 GiB	c00072846ee7212e6fa767ff244e9356	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Cells_Transformed_fibroblasts.allpairs.txt.gz
Colon_Sigmoid.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Colon_Sigmoid.allpairs.txt.gz	3.92 GiB	adb305b8d9706d960281b0a73f4dddfc	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Colon_Sigmoid.allpairs.txt.gz
Colon_Transverse.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Colon_Transverse.allpairs.txt.gz	4.18 GiB	4b8df610f18d9ce25eb050fc767dbbc8	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Colon_Transverse.allpairs.txt.gz
Esophagus_Gastroesophageal_Junction.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Esophagus_Gastroesophageal_Junction.allpairs.txt.gz	3.89 GiB	7adbe9d8b79598d7aa3e0c246474d844	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Esophagus_Gastroesophageal_Junction.allpairs.txt.gz
Esophagus_Mucosa.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Esophagus_Mucosa.allpairs.txt.gz	4.16 GiB	4a371f56b1d3095ea12ad9b78844a06f	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Esophagus_Mucosa.allpairs.txt.gz
Esophagus_Muscularis.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Esophagus_Muscularis.allpairs.txt.gz	4.07 GiB	542ef1089355d6962cc56eed1c390e1d	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Esophagus_Muscularis.allpairs.txt.gz
Heart_Atrial_Appendage.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Heart_Atrial_Appendage.allpairs.txt.gz	3.87 GiB	a930033346b446f2d819cf1a7a1b3103	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Heart_Atrial_Appendage.allpairs.txt.gz
Heart_Left_Ventricle.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Heart_Left_Ventricle.allpairs.txt.gz	3.58 GiB	11e315a2eeadc6e33c30fecc26a9776e	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Heart_Left_Ventricle.allpairs.txt.gz
Liver.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Liver.allpairs.txt.gz	3.45 GiB	85c187a77061d9103bc60b9938270342	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Liver.allpairs.txt.gz
Lung.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Lung.allpairs.txt.gz	4.55 GiB	5f31a4a8fa1a462fd1cdf454240f545a	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Lung.allpairs.txt.gz
Minor_Salivary_Gland.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Minor_Salivary_Gland.allpairs.txt.gz	3.63 GiB	a7a3f3bc09d27c388728ca3be3fa672e	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Minor_Salivary_Gland.allpairs.txt.gz
Muscle_Skeletal.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Muscle_Skeletal.allpairs.txt.gz	3.78 GiB	8ed3558165e2633d9c3e1ebd41a055c2	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Muscle_Skeletal.allpairs.txt.gz
Nerve_Tibial.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Nerve_Tibial.allpairs.txt.gz	4.46 GiB	6e40bb88c423c24f2ab86b84980c443f	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Nerve_Tibial.allpairs.txt.gz
Ovary.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Ovary.allpairs.txt.gz	3.79 GiB	142f31c38ac0a966d6ff7495505fc145	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Ovary.allpairs.txt.gz
Pancreas.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Pancreas.allpairs.txt.gz	3.72 GiB	f9e021e7ef8a2491e8c2e54313eb4bf3	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Pancreas.allpairs.txt.gz
Pituitary.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Pituitary.allpairs.txt.gz	4.08 GiB	0331172238d15340360d580e22715a0f	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Pituitary.allpairs.txt.gz
Prostate.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Prostate.allpairs.txt.gz	4.01 GiB	e8f9dc694452d8334348adfea7ea65a6	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Prostate.allpairs.txt.gz
Skin_Not_Sun_Exposed_Suprapubic.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Skin_Not_Sun_Exposed_Suprapubic.allpairs.txt.gz	4.38 GiB	b09c797b18c3e38e8aff89ace041e498	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Skin_Not_Sun_Exposed_Suprapubic.allpairs.txt.gz
Skin_Sun_Exposed_Lower_leg.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Skin_Sun_Exposed_Lower_leg.allpairs.txt.gz	4.43 GiB	3f999005f1586bd26c07a925ccbad5af	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Skin_Sun_Exposed_Lower_leg.allpairs.txt.gz
Small_Intestine_Terminal_Ileum.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Small_Intestine_Terminal_Ileum.allpairs.txt.gz	3.94 GiB	34b8319c9d61a46e38641c5948f6e6fb	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Small_Intestine_Terminal_Ileum.allpairs.txt.gz
Spleen.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Spleen.allpairs.txt.gz	3.96 GiB	6fb6c8d6c1f15699096e12c98b137615	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Spleen.allpairs.txt.gz
Stomach.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Stomach.allpairs.txt.gz	3.99 GiB	ce2a9fe7636344a05cc211f0236ce164	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Stomach.allpairs.txt.gz
Testis.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Testis.allpairs.txt.gz	5.66 GiB	34dff24d9113d1b71aa6ad62b7671f48	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Testis.allpairs.txt.gz
Thyroid.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Thyroid.allpairs.txt.gz	4.57 GiB	a5352fbc62fcad98875b18986c46c903	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Thyroid.allpairs.txt.gz
Uterus.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Uterus.allpairs.txt.gz	3.65 GiB	5673ffe545e0e22c9a789eaf5b99dd5a	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Uterus.allpairs.txt.gz
Vagina.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Vagina.allpairs.txt.gz	3.76 GiB	db1e6a6d801ba0c880c778897327766c	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Vagina.allpairs.txt.gz
Whole_Blood.allpairs.txt.gz	gs://gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Whole_Blood.allpairs.txt.gz	3.6 GiB	09d0f87289e29f75cd735533472093c3	https://storage.googleapis.com/gtex_analysis_v7/single_tissue_eqtl_data/all_snp_gene_associations/Whole_Blood.allpairs.txt.gz
GTEx_droncseq_hip_pcf.tar	gs://gtex_additional_datasets/single_cell_data/GTEx_droncseq_hip_pcf.tar	15.66 MiB	eafedb04d1a4c702f9a95856b20c7a26	https://storage.googleapis.com/gtex_additional_datasets/single_cell_data/GTEx_droncseq_hip_pcf.tar
GTEx_Data_V6_Annotations_SampleAttributesDD.xlsx	gs://gtex_analysis_v6p/annotations/GTEx_Data_V6_Annotations_SampleAttributesDD.xlsx	33.11 KiB	4deba6c7c24b5cb5ed01df32518cda2d	https://storage.googleapis.com/gtex_analysis_v6p/annotations/GTEx_Data_V6_Annotations_SampleAttributesDD.xlsx
GTEx_Data_V6_Annotations_SampleAttributesDS.txt	gs://gtex_analysis_v6p/annotations/GTEx_Data_V6_Annotations_SampleAttributesDS.txt	5.99 MiB	6273af715b43ef89c7f9f9af8524031b	https://storage.googleapis.com/gtex_analysis_v6p/annotations/GTEx_Data_V6_Annotations_SampleAttributesDS.txt
GTEx_Data_V6_Annotations_SubjectPhenotypesDS.txt	gs://gtex_analysis_v6p/annotations/GTEx_Data_V6_Annotations_SubjectPhenotypesDS.txt	11.39 KiB	5e31c42421f0ff27a4c83872027012d5	https://storage.googleapis.com/gtex_analysis_v6p/annotations/GTEx_Data_V6_Annotations_SubjectPhenotypesDS.txt
GTEx_Data_V6_Annotations_SubjectPhenotypes_DD.xlsx	gs://gtex_analysis_v6p/annotations/GTEx_Data_V6_Annotations_SubjectPhenotypes_DD.xlsx	21.69 KiB	ad5b5e461037c7ab14d920941ab0b821	https://storage.googleapis.com/gtex_analysis_v6p/annotations/GTEx_Data_V6_Annotations_SubjectPhenotypes_DD.xlsx
description.txt	gs://gtex_analysis_v6p/annotations/description.txt	595 B	fd6e6d2fedb460d6a99b94c87718dd05	https://storage.googleapis.com/gtex_analysis_v6p/annotations/description.txt
coexpression_networks_v6p.zip	gs://gtex_analysis_v6p/coexpression_networks/coexpression_networks_v6p.zip	14.67 MiB	3d7cf917b005c9d9f747ec799e45ee0e	https://storage.googleapis.com/gtex_analysis_v6p/coexpression_networks/coexpression_networks_v6p.zip
gencode.v19.genes.v6p_model.patched_contigs.gtf.gz	gs://gtex_analysis_v6p/reference/gencode.v19.genes.v6p_model.patched_contigs.gtf.gz	7.16 MiB	9d7cf513a467055b11d7ad7c2eef4cd6	https://storage.googleapis.com/gtex_analysis_v6p/reference/gencode.v19.genes.v6p_model.patched_contigs.gtf.gz
